path	verdict	confidence	value	mtime	editor_run_id	notes
./AGENTS.md	KEEP	9	HIGH	2026-05-19	n/a	Deliberate thin pointer to CLAUDE.md for non-Claude AI agents (Codex/Gemini)
./CLAUDE.md	UPDATE	9	MEDIUM	2026-05-19	applied	Counts drift + line# rot + 5 niche pièges → split to docs/GOTCHAS_ARCHIVE.md
./README.md	KEEP	9	HIGH	2026-05-19	n/a	Distinct external audience, accurate (Express 5/Node 22/Expo 55/RN 0.83/port 5433 verified)
./SECURITY.md	UPDATE	9	HIGH	2026-05-19	applied	PGP key advertised but file still PGP_KEY_PLACEHOLDER_DO_NOT_SHIP — soften wording
docs/GOTCHAS_ARCHIVE.md	CREATED	n/a	n/a	2026-05-19	from CLAUDE.md split	5 niche pièges relocated
./docs/ROADMAP_TEAM.md	UPDATE	9	HIGH	2026-05-19	applied	Drift: T1.5b checkbox not ticked, agents count 6→9, UFR-022 V13 milestone missing as T-item
./docs/ROADMAP_PRODUCT.md	UPDATE	9	HIGH	2026-05-19	applied	12 C9 checkboxes ticked (verified commits) + total Phase A recompute
./docs/ARCHITECTURE.md	UPDATE	8	HIGH	2026-05-19	applied	4 stale: leads module undoc, KE root index.ts, src/helpers gone, FE features missing diagnostics/home/paywall
./docs/TECH_DEBT.md	UPDATE	9	HIGH	2026-05-19	applied	11 resolved-but-open + 4 dup IDs + TD-7 stale; archive-split deferred to 2nd pass
./docs/DOCS_INDEX.md	UPDATE	8	HIGH	2026-05-19	deferred-to-end	0 broken, ~32 orphans (GOTCHAS_ARCHIVE, HANDOFFs, legal/, operations/, TEST_*); update LAST after final doc set known
./docs/PHASE_HISTORY.md	UPDATE	8	MEDIUM	2026-05-19	applied	garak Phase14 stale (deleted 2026-05-17) + 3 missing phases (Maestro/UFR-021, tracing, UFR-022)
DEFERRED	TECH_DEBT archive split	n/a	n/a	2026-05-20	2nd-pass	Move ~25 closed items to TECH_DEBT_ARCHIVE.md — do near end of audit
./docs/ROADMAP_FE_RN_BEST_PRACTICES.md	UPDATE	8	MEDIUM	2026-05-19	applied	F5/F12 shipped unchecked, F3 path components/→ui/, WT2 worktree model gone
./.claude/agents/architect.md	UPDATE	8	HIGH	2026-05-19	applied	Workflow l.87-105 still monolithic spec+design pass, contradicts UFR-022 spec/plan split
./.claude/agents/reviewer.md	KEEP	9	HIGH	2026-05-19	n/a	Fully aligned UFR-022 (opus-4.7, 5-axis, unlimited loop, BLOCK-CONTEXT-LEAK)
./.claude/agents/editor.md	UPDATE	8	HIGH	2026-05-19	applied	Workflow phase-agnostic, omits post-edit-green-test-freeze.sh + red/green phase split
./.claude/agents/verifier.md	KEEP	9	HIGH	2026-05-19	n/a	Aligned SKILL.md Step6+REGLE10, 3 hooks verified exist, opus-4.6
./.claude/agents/security.md	UPDATE-minor	7	MEDIUM	2026-05-19	deferred-frontmatter-pass	model:opus convention (contested) + allowedTools broad vs SKILL scoped — handle in consolidated agent-frontmatter decision
./.claude/agents/documenter.md	KEEP	9	HIGH	2026-05-19	n/a	model:opus-4-6 correct, no Sonnet leftover, cosmetic date nit l.11 only
./.claude/agents/shared/user-feedback-rules.json	KEEP	9	HIGH	2026-05-19	n/a	20 active/22 total, all UFR present+sequential, minor cosmetic v12→v13 + UFR-022/021 ordering
./.claude/agents/learning-curator.md	KEEP	8	MEDIUM	2026-05-19	n/a	Aligned; auditor HALLUCINATED malformed </output> tag (verified balanced); allowedTools Bash deferred
./.claude/agents/shared/stack-context.json	UPDATE	8	MEDIUM	2026-05-19	applied	i18n next-intl wrong (custom dict), GitNexus 1.5.3→1.6.3, stale test counts
./.claude/skills/team/SKILL.md	UPDATE	8	HIGH	2026-05-19	applied	KNOWN GAPS lists 6 shipped items as pending; PROTOCOLES/TEMPLATES tables cite retired micro/standard/enterprise modes
./.claude/skills/team/team-protocols/sdlc-pipelines.md	UPDATE	8	MEDIUM	2026-05-19	applied	Whole file = retired 3-tier model, 0 UFR-022; rewrite to thin mode-unique 9-phase ref
./.claude/skills/team/team-protocols/quality-gates.md	UPDATE	8	MEDIUM	2026-05-19	applied	Gate mechanics accurate but multi-mode/6-gate Sentinelle framing retired; strip mode language keep mechanics
./.claude/agents/doc-fetcher.md	KEEP	9	HIGH	2026-05-19	n/a	Well-aligned UFR-022 (BRIEF-ACK, BLOCK-CONTEXT-LEAK, write lib-docs only, OK|WARN); dispatcher-read by TL not agent (prev agent hung)
./.claude/agents/doc-curator.md	KEEP	9	HIGH	2026-05-19	n/a	Well-aligned UFR-022 (preserve LESSONS.md, write PATTERNS.md only, 200-500L target); dispatcher-read by TL
./.claude/skills/team/team-protocols/agent-mandate.md	UPDATE	8	MEDIUM	2026-05-19	applied	Frozen V12: 6→9 agents, retired modes/ALLOCATION, missing UFR-022 splits+frozen-test+lib-docs, cap-2 stale
./.claude/skills/team/team-protocols/import-coherence.md	UPDATE	9	HIGH	2026-05-19	applied-by-TL	1-line mode fix l.4 (aliases all verified correct); TL direct edit
./.claude/skills/team/team-protocols/gitnexus-integration.md	UPDATE	8	MEDIUM	2026-05-19	applied	Tool names accurate but retired-mode (standard/enterprise/micro) qualifiers throughout; strip
./.claude/skills/team/team-protocols/finalize.md	UPDATE	8	MEDIUM	2026-05-19	applied	Pre-v13 (Apr5), retired modes + dead V1_Sprint refs, omits UFR-022 Step9 sequence; rewrite
./.claude/skills/team/team-protocols/error-taxonomy.md	UPDATE	7	MEDIUM	2026-05-19	applied	Header enterprise-only, retired phase names, TaskCreate (forbidden UFR-022), cap-3 vs unlimited reviewer; tables OK refresh doctrine
./.claude/skills/team/team-protocols/conflict-resolution.md	UPDATE	8	MEDIUM	2026-05-19	applied	enterprise-only header, parallel-edit collision obsolete (REGLE12 serialized writes), some scenarios superseded; heavy-trim
FINDING	agent-roi.json absent	n/a	n/a	2026-05-20	noted	SKILL.md L489 references team-knowledge/agent-roi.json but file absent (created on write) — minor
./.claude/quality-ratchet.json	KEEP	8	HIGH	2026-05-19	deferred-gate-policy	Floor 3805<5809 = normal ratchet headroom (auto-raised by hook on green); manual bump = gate-policy not doc-fix. team-knowledge ver distinct (not dup)
./.claude/skills/team/team-sdlc-index.md	UPDATE	8	HIGH	2026-05-19	applied	Master index frozen v4/V12: 6→9 agents, 12→22 UFR, retired pipelines/modes, wrong KB path, 8 dead skill refs; rewrite v13
./.claude/skills/team/team-promptfoo/README.md	KEEP	8	MEDIUM	2026-05-19	n/a	Accurate; 4 files + 2 shims + CI exist; absent quality-baseline-bake.sh is tracked TODO T1.5b not error
./.claude/skills/team/team-hooks/README.md	UPDATE	8	MEDIUM	2026-05-19	applied	Documents 4/11 hooks (4 UFR-022 phase hooks + 3 lifecycle undocumented), v12 title, retired MODE/OVERRIDE_SPEC_KIT bypass example
./.claude/skills/team/team-templates/micro.md	DELETE	9	NOISE	2026-05-19	EXECUTED-git-rm (staged, not committed)
./.claude/skills/team/team-templates/standard.md	DELETE	9	NOISE	2026-05-19	EXECUTED-git-rm (staged, not committed)
./.claude/skills/team/team-templates/audit.md	DELETE	9	NOISE	2026-05-19	EXECUTED-git-rm (staged, not committed)
./.claude/skills/team/team-templates/design.md.tmpl	KEEP	8	HIGH	2026-05-19	n/a	Active Spec Kit template (Step 4b)
./.claude/skills/team/team-templates/tasks.md.tmpl	KEEP	8	HIGH	2026-05-19	n/a	Active Spec Kit template (Step 4b)
./.claude/skills/team/team-templates/handoff-brief.json.tmpl	KEEP	8	HIGH	2026-05-19	n/a	Active handoff template
TEMPLATES-3UPD	enterprise.md+spec.md.tmpl+STORY.md.tmpl	8	HIGH	2026-05-19	applied	enterprise.md 13→9phase, spec.md.tmpl dead {{MODE}}/{{PIPELINE}}, STORY.md.tmpl phase-label drift
./.claude/skills/team/team-knowledge/plan-cache.json	DELETE	9	NOISE	2026-05-19	EXECUTED-git-rm (staged, not committed)
./.claude/skills/team/lib/plan-cache.sh	DELETE	9	NOISE	2026-05-19	EXECUTED-git-rm (staged, not committed)
team-knowledge-JSON-8files	KEEP	8	HIGH	2026-05-19	n/a	8 live telemetry/state/doctrine (agent-perf/autonomy/error-patterns/estimation/next-run/prompt-enrich/quality-ratchet/velocity) actively wired
